Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,52kvZcbEDm0v2kWZQXjuuA
Breathe,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,1mcpd5zsGu9ZvX0jIhZTg6
Little Drummer Boy (Lema x Savi Remix),Pentatonix,26AHtbjWKiwYzsoGoUZq53,5rVwzVWmqQLPMic0iQcpq6
On Air (Deluxe),The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6inOkfdsIBoGyRtR3O8Gwj
The Greatest Gift,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,57JZsVeZqBhukvZ9YOokyv
5KY11GHT,Digitalism,2fBURuq7FrlH6z5F92mpOl,2kG6WBPm0bfWwIvk1eNvWm
Boxes (Acoustic),The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,7z93UaPhXkm2bMjoWltATK
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,3U1X1wd3lX7EteWYhS2hpT
Luv Is Rage 2 (Deluxe),Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,0zicd2mBV8HTzSubByj4vP
Fool's Gold,S. Carey,2LSJrlndCuTpdEluvYHc2E,0EaZIiPjCpZoODnTuzSroH
Swallow,Teenage Wrist,79HbBkVgOVUuVhuTJ50pIx,0eebdURpIr0aiJh8KNVyua
Est. 1997,Konata Small,46ZKkiF5p7EUjBL0JknTxQ,3ezYuF3hBjSJEVqd18q88e
Heiress,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,4poxm3vY9nKdqcyeWv5h0a
Juice,Chromeo,2mV8aJphiSHYJf43DxL7Gt,5slTXky2un9t3JPmeZnUXX
Woodstock,John Legend,5y2Xq6xcjJb2jVM54GHK3t,6S2lVoBmDELDPVgMtETs1I
Worth It,Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,1xojCpVkKZH1OQlCNh4FTp
MTV Unplugged,Bleachers,2eam0iDomRHGBypaDQLwWI,5hxH5SSwxf6oObJB1KzS7J
Unapologetically,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,4m7BydC6hXAQSnMn6ArAZx
All The Shimmering Things,Keeno,6r54QO0889i9vqaeuruUSn,6v78jeS0Tp6idSstmTWkvT
Waking Lions,Pop Evil,1pRaG81GsVtaTBuVSpldt2,7hda12JcWVJYKnEPFCoRMg
Dentro de ti,Javiera Mena,6c0qylj1D1gqcUUN2P8Ofp,05RIufqp2ZeOdHW0FY87Sn
Deep Water,Amanda Cook,6BoGPE6HncyAwa1Ka8uQVn,6ZiCNmnzTiiCQEiH17b1w1
Stranger Things (Soundtrack from the Netflix Original Series),Various Artists,0LyfQWJT6nXafLPZqxe9Of,0CTCk1eshEadFqZ4NBfe9N
up in this (with Tinashe),blackbear,2cFrymmkijnjDg9SS92EPM,6KZJP4kD27uCMsfkbHJc0l
Never Too Late,1K Phew,6CQGrt3AJ2gx5oMSR0mwbl,3hGcn4TGCR9Ta7ZqrEFj6E
Words I Never Said,Ella Vos,2zmrsXMHxagFz6vI2cD7r6,5m8p6d8kDFfNOOi4Wr7w44
No Dope On Sundays,CyHi The Prynce,18HVMQsV3tINaTyzT5UIjH,79yQxmlPsMM41NH3AiVSNK
BLUE LIPS (lady wood phase II),Tove Lo,4NHQUGzhtTLFvgF5SZesLK,6jggnLM3SdDnjQ3GWmIZ4L
Energia,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,3BucwcL5TrZUK6eWWDmWfy
Strange Days (50th Anniversary Expanded Edition) [Remastered],The Doors,22WZ7M8sxp5THdruNY3gXt,6bGa4Ox4GI6WAdsLbrR0bw
All We Can Do,Poo Bear,3JXpwnHbLvXxY99EuXqFPX,4MiHnzWA3mlUj0PfsHecE6
What If Nothing,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,4fe1YmssM6Ugs6UyA7OdGg
"Laugh Now, Fly Later",Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,7gGdhlPptWrRYPXZw3j8dS
Warzone,Of Mice & Men,4tususHNaR68xdgLstlGBA,5VxgBFJF9bIkp3lqCcyQch
Stranded,Flight Facilities,1lc8mnyGrCLtPhCoWjRxjM,3gicA27LhgeoVz9hHEeJOT
Automatic For The People (25th Anniversary Edition),R.E.M.,4KWTAlx2RvbpseOGMEmROg,3sDXivpN7CmCKbQRRsRzw8
Like Gold,Vance Joy,10exVja0key0uqUkk6LJRT,6yRUQ6BsMwy64HN85KDOol
The 1st,Willow,3rWZHrfrsPBxVy692yAIxF,0YrdQQiUYjNmLPs0SI53qy
Noël (Deluxe Edition),Josh Groban,6cXMpsP9x0SH4kFfMyVezF,27Ovu2vEYcN7dcd27yRkGg
The Next Time We Wed,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,1t4jXQhOdhT742JcvlLx3F
Sweet Southern Sugar,Kid Rock,7dOBabd5O4CvKrg4iriHTM,519SZo5x38UD8Jg7AUXWWE
Reckless Love,Cory Asbury,2gXmjQIxCO8lMnSncluZaU,3d745uwfR4X2wk1E0wuaFS
Wash,Tourist,2ABBMkcUeM9hdpimo86mo6,5a93OsxGkd4K2zgdflh2vX
Hasta El Ombligo,Chyno Miranda,1VrWc8r4AjrR8YfT0vlsc7,2cOa4SS1rOzEGuHg5OBBwO
Permanent Vacation,The Academic,3VLf4DlBTN2ZRwygS3TNti,2iFmY0yY8k9jGyAu7bAv3S
Spotify Singles (Recorded At Sound Stage Nashville),Jillian Jacqueline,5GDZ6xhBwk7Yja97CFLmV7,0wx6mlaSSj1ckHaKRNTOJh
Thor: Ragnarok (Original Motion Picture Soundtrack),Mark Mothersbaugh,5sEDTHJJyDEWVFx99hGSIb,4gecrZPdDxMlVxBtpobpxr
The Great Electronic Swindle,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5,5WdMuFT65WXigpOl3NNITH
Letters Never Read,Dori Freeman,4GCMwhffO4BBQZp2eoOapt,3SarATvyjJUcQqLhnjLid4
Body Talk,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,7lW5oqhn9507jNoHIe2v4B
